id;algo_name;endpoint;js_function
1;Forward Angola;interactive Mouse lavender;Electronics
2;function;blue customer Sharable;Alabama Pataca
3;fault-tolerant;partnerships;Concrete
4;Yen;Specialist Books;California Dakota
5;vertical;Grenada protocol Consultant;hack Horizontal
6;Gloves;bypass;Customer Loan
7;digital PNG;evolve PCI;Point
8;digital e-markets;Pound;PCI Licensed Bedfordshire
9;transmitter transition Computer;Cambridgeshire IB;Arizona Wooden North
10;azure Car Carolina;Italy Martinique Berkshire;administration primary
